
2025/03/06 (12:38:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/06 (12:38:17) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/06 (22:00:52) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:00:58) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:01:04) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:01:10) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:01:16) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:01:22) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:01:28) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:01:34) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:01:40) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:01:46) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:01:52) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:01:58) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:02:04) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:02:10) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:02:16) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:02:22) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:02:28) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:02:34) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:02:40) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:02:46) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:02:52) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:02:58) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:03:04) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:03:10) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:03:16) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:03:22) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:03:28) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:03:34) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:03:40) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:03:46) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:03:52) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:03:58) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:04:04) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:04:10) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:04:16) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:04:22) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:04:28) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:04:34) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:04:40) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:04:46) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:04:52) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:04:58) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:05:04) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:05:10) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:05:16) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:05:22) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:05:28) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:05:34) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:05:40) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:05:46) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:05:52) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:05:58) | ERROR: Stall in Runner thread, restarting!
2025/03/06 (22:06:04) | ERROR: Stall in Runner thread, restarting!
